Date,Open,High,Low,Close,Adj Close,Volume
2008-12-30,6.700000,6.820000,6.600000,6.820000,6.820000,3768500
2008-12-31,6.800000,7.200000,6.690000,7.100000,7.100000,4849600
2009-01-02,6.920000,7.400000,6.920000,7.230000,7.230000,3931200
2009-01-05,7.030000,7.140000,6.750000,7.120000,7.120000,6972700
2009-01-06,7.120000,7.340000,7.000000,7.300000,7.300000,4546000
2009-01-07,7.160000,7.740000,7.150000,7.610000,7.610000,9572700
2009-01-08,7.600000,7.740000,7.390000,7.730000,7.730000,7802300
2009-01-09,7.260000,7.290000,6.920000,6.970000,6.970000,7719100
2009-01-12,6.990000,7.090000,6.780000,7.050000,7.050000,4608000
2009-01-13,7.050000,7.320000,7.000000,7.050000,7.050000,6091900
2009-01-14,6.860000,7.020000,6.380000,6.440000,6.440000,6023600
2009-01-15,6.450000,7.040000,6.100000,6.770000,6.770000,9627000
2009-01-16,7.000000,7.110000,6.720000,6.960000,6.960000,6353800
2009-01-20,6.930000,7.290000,6.680000,7.090000,7.090000,10834300
2009-01-21,7.150000,7.250000,6.010000,6.340000,6.340000,13149800
2009-01-22,6.380000,6.900000,6.330000,6.780000,6.780000,6672200
2009-01-23,6.340000,6.860000,6.340000,6.640000,6.640000,5290600
2009-01-26,6.650000,6.930000,6.500000,6.700000,6.700000,4689500
2009-01-27,6.690000,6.770000,6.160000,6.250000,6.250000,5137300
2009-01-28,6.330000,6.620000,6.240000,6.560000,6.560000,9332500
2009-01-29,6.380000,7.020000,6.310000,6.380000,6.380000,7329300
2009-01-30,6.410000,6.440000,5.470000,5.630000,5.630000,11128800
2009-02-02,5.540000,5.690000,5.260000,5.590000,5.590000,6066300
2009-02-03,5.620000,5.660000,5.350000,5.600000,5.600000,5558300
2009-02-04,5.610000,5.890000,5.510000,5.530000,5.530000,4859700
2009-02-05,5.510000,5.990000,5.400000,5.780000,5.780000,5969500
2009-02-06,5.800000,6.300000,5.800000,6.210000,6.210000,6118700
2009-02-09,6.250000,6.350000,5.950000,6.000000,6.000000,4927500
2009-02-10,5.990000,6.170000,5.800000,5.850000,5.850000,5450600
2009-02-11,5.900000,6.030000,5.510000,5.630000,5.630000,5796700
2009-02-12,5.560000,5.790000,5.510000,5.780000,5.780000,4046800
2009-02-13,5.800000,6.000000,5.580000,5.840000,5.840000,2756400
2009-02-17,5.560000,5.710000,5.500000,5.600000,5.600000,3920700
2009-02-18,5.580000,5.840000,4.770000,4.810000,4.810000,7491600
2009-02-19,4.880000,4.980000,4.510000,4.530000,4.530000,6980000
2009-02-20,4.500000,4.550000,3.840000,4.250000,4.250000,10541200
2009-02-23,4.340000,4.550000,4.240000,4.280000,4.280000,4796100
2009-02-24,4.330000,4.600000,4.250000,4.560000,4.560000,5985000
2009-02-25,4.490000,4.490000,4.040000,4.260000,4.260000,3639500
